"id","game_name","console","game_type","finished","published_year","played_year","hours_played","perso_score","multiplayed"
86,Heroes of Might & Magic VII,PC,STR,false,2015,2018,10,85,true
87,Age of Empire II,PC,STR,false,2000,2003,30,88,true
88,Life is Strange,PC,Narrative,true,2008,2018,10,79,true
89,Worms,PC,STR|Shoot'em All,false,1995,1996,30,80,true
90,Worms 2,PC,STR|Shoot'em All,false,1997,1997,30,82,true
91,Worms Armageddon,PC,STR|Shoot'em All,false,1999,2000,40,87,true
92,Worms: W.M.D,PS4,STR|Shoot'em All,false,2016,2018,20,87,true
93,Theme Hospital,PC,STR,false,1997,2000,10,80,true
94,Dungeon Keeper,PC,STR,false,1997,2000,10,80,true
95,The Sims,PC,STR,true,2000,2000,50,90,true
96,The Sims 2,PC,STR,true,2000,2005,30,88,false
97,Baldur's Gate,PC,Action-Adventure|RPG,true,1998,2000,40,90,false
98,Baldur's Gate II: Shadows of Amn,PC,Action-Adventure|RPG,true,2000,2001,50,92,false
99,Drakan: Order of the Flame,PC,Action-Adventure,true,1999,2000,25,89,false
100,Heart of Darkness,PC,Action-Adventure|Platformer,true,1998,2001,15,77,false
101,Heroes of the Storm,PC,MOBA,false,2016,2016,90,93,true
102,Grim Fandango,PC,Point&Click,true,2008,2018,20,80,true
103,The Curse of Monkey Island,PC,Point&Click,true,1997,2018,10,75,true
104,Escape From Monkey Island,PC,Point&Click,true,2004,2004,30,85,true
105,The Secrets of Monkey Island,PC,Point&Click,false,1990,2018,2,87,true
106,Myst,PC,Point&Click,true,1993,1993,25,86,true
107,Versailles,PC,Point&Click,false,1996,1996,10,73,true
108,Goblins,PC,Point&Click,false,1991,1993,10,73,true
109,Goblins 2,PC,Point&Click,false,1992,1994,10,75,true
110,Oddworld: Abe's Oddysee,PC,Action-Adventure|Platformer,true,1997,1999,25,85,true
111,Oddworld: Abe's Exoddus,PC,Action-Adventure|Platformer,true,1998,2000,10,86,true
112,Lemmings,PC,STR,false,1991,1993,15,72,true
113,MegaBomberMan,PC,Party Game,false,1993,1999,15,72,true
114,SimCity 2000,PC,STR,false,1994,1995,15,70,false
115,Caesar II,PC,STR,false,1995,1998,10,80,true
116,Pharaoh,PC,STR,false,1999,2001,20,86,true
117,Carmageddon,PC,Racing|Beat'em All,false,1997,1999,20,86,true
118,Carmageddon II: Carpocalypse Now,PC,Racing|Beat'em All,false,1998,2000,10,86,true
119,RollerCoaster Tycoon,PC,STR,false,1999,2000,15,70,false
120,Beyond Good & Evil,PC,Action-Adventure|Platformer,false,2003,2016,5,62,false
121,Star Wars: Galactic Battlegrounds,PC,STR,true,2001,2001,40,90,false
122,Star Wars: Shadows of the Empire,PC,Action-Adventure|Hack&Clash,true,1996,2002,20,85,false
123,Star Wars Jedi Knight II: Jedi Outcast,PC,Action-Adventure|Hack&Clash,true,2002,2003,30,98,true
124,Star Wars Jedi Knight: Jedi Academy,PC,Action-Adventure|Hack&Clash,true,2003,2003,30,97,true
125,Star Wars: The Old Republic,PC,Action-Adventure|RPG,true,2011,2012,50,92,true
126,Star Wars: Knights of The Old Republic,PC,Action-Adventure|RPG,true,2003,2012,25,91,false
127,Star Wars Episode I Racer,PC,Racing,true,2001,2001,30,75,false
128,Star Wars: StarFighter,PC,Space Shooter,true,2001,2001,20,80,false
129,Star Wars: Jedi StarFighter,PS2,Space Shooter,true,2001,2001,20,80,false
130,Star Wars Battlefront (2015),PC,FPS|Space Shooter,true,2015,2015,20,80,true
131,Star Wars Battlefront II,PS4|PC,FPS|Space Shooter,true,2017,2017,50,90,true
132,Star Wars: Bounty Hunter,PS2,Action-Adventure,true,2002,2002,30,70,true
