game_name,console,game_type,finished,published_year,played_year,hours_played,perso_score,multiplayed
Worms 2,PC,STR|Shoot'em All,0,1997,1997,30,82,1
Worms Armageddon,PC,STR|Shoot'em All,0,1999,2000,40,87,1
Worms: W.M.D,PS4,STR|Shoot'em All,0,2016,2018,20,87,1
Theme Hospital,PC,STR,0,1997,2000,10,80,1
Dungeon Keeper,PC,STR,0,1997,2000,10,80,1
The Sims,PC,STR,1,2000,2000,50,90,1
The Sims 2,PC,STR,1,2000,2005,30,88,0
Baldur's Gate,PC,Action-Adventure|RPG,1,1998,2000,40,90,0
Baldur's Gate II: Shadows of Amn,PC,Action-Adventure|RPG,1,2000,2001,50,92,0
Drakan: Order of the Flame,PC,Action-Adventure,1,1999,2000,25,89,0
Heart of Darkness,PC,Action-Adventure|Platformer,1,1998,2001,15,77,0
Heroes of the Storm,PC,MOBA,0,2016,2016,90,93,1
Grim Fandango,PC,Point&Click,1,2008,2018,20,80,1
The Curse of Monkey Island,PC,Point&Click,1,1997,2018,10,75,1
Escape From Monkey Island,PC,Point&Click,1,2004,2004,30,85,1
The Secrets of Monkey Island,PC,Point&Click,0,1990,2018,2,87,1
Myst,PC,Point&Click,1,1993,1993,25,86,1
Versailles,PC,Point&Click,0,1996,1996,10,73,1
Goblins,PC,Point&Click,0,1991,1993,10,73,1
Goblins 2,PC,Point&Click,0,1992,1994,10,75,1
Oddworld: Abe's Oddysee,PC,Action-Adventure|Platformer,1,1997,1999,25,85,1
Oddworld: Abe's Exoddus,PC,Action-Adventure|Platformer,1,1998,2000,10,86,1
Lemmings,PC,STR,0,1991,1993,15,72,1
MegaBomberMan,PC,Party Game,0,1993,1999,15,72,1
SimCity 2000,PC,STR,0,1994,1995,15,70,0
Caesar II,PC,STR,0,1995,1998,10,80,1
Pharaoh,PC,STR,0,1999,2001,20,86,1
Carmageddon,PC,Racing|Beat'em All,0,1997,1999,20,86,1
Carmageddon II: Carpocalypse Now,PC,Racing|Beat'em All,0,1998,2000,10,86,1
RollerCoaster Tycoon,PC,STR,0,1999,2000,15,70,0
Beyond Good & Evil,PC,Action-Adventure|Platformer,0,2003,2016,5,62,0
Star Wars: Galactic Battlegrounds,PC,STR,1,2001,2001,40,90,0
Star Wars: Shadows of the Empire,PC,Action-Adventure|Hack&Clash,1,1996,2002,20,85,0
Star Wars Jedi Knight II: Jedi Outcast,PC,Action-Adventure|Hack&Clash,1,2002,2003,30,98,1
Star Wars Jedi Knight: Jedi Academy,PC,Action-Adventure|Hack&Clash,1,2003,2003,30,97,1
Star Wars: The Old Republic,PC,Action-Adventure|RPG,1,2011,2012,50,92,1
Star Wars: Knights of The Old Republic,PC,Action-Adventure|RPG,1,2003,2012,25,91,0
